scenario,op,latency_ns
poisson,add_limit,100
poisson,post,200
poisson,add_limit,400
poisson,modify,100
poisson,post,200
poisson,add_limit,800
poisson,add_market,100
poisson,post,300
poisson,post,300
poisson,add_limit,300
poisson,post,500
poisson,post,200
poisson,add_market,100
poisson,post,400
poisson,add_limit,500
poisson,modify,200
poisson,modify,100
poisson,add_limit,1100
poisson,post,200
poisson,add_limit,500
poisson,modify,0
poisson,add_limit,500
poisson,add_limit,100
poisson,cancel,100
poisson,add_limit,900
poisson,add_limit,500
poisson,cancel,100
poisson,post,200
poisson,add_limit,100
poisson,add_limit,100
poisson,post,200
poisson,add_limit,500
poisson,add_limit,300
poisson,cancel,100
poisson,post,200
poisson,add_market,900
poisson,post,400
poisson,post,100
poisson,add_limit,500
poisson,post,200
poisson,post,300
poisson,add_limit,100
poisson,post,300
poisson,add_limit,200
poisson,add_limit,400
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,300
poisson,add_limit,400
poisson,post,200
poisson,post,300
poisson,post,200
poisson,post,400
poisson,post,100
poisson,post,100
poisson,add_limit,400
poisson,modify,0
poisson,add_limit,500
poisson,add_limit,100
poisson,post,300
poisson,modify,100
poisson,add_limit,500
poisson,post,300
poisson,post,300
poisson,add_limit,300
poisson,post,200
poisson,post,200
poisson,add_limit,200
poisson,add_limit,500
poisson,add_limit,500
poisson,add_limit,600
poisson,add_limit,400
poisson,add_limit,100
poisson,cancel,100
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,500
poisson,post,200
poisson,add_limit,800
poisson,add_limit,100
poisson,add_market,400
poisson,add_limit,500
poisson,post,200
poisson,post,200
poisson,add_limit,500
poisson,add_limit,100
poisson,post,200
poisson,add_limit,100
poisson,add_limit,100
poisson,add_market,100
poisson,post,200
poisson,add_limit,500
poisson,modify,100
poisson,cancel,100
poisson,add_limit,400
poisson,post,200
poisson,add_limit,600
poisson,add_limit,100
poisson,post,300
poisson,add_limit,500
poisson,add_limit,400
poisson,add_limit,500
poisson,post,500
poisson,add_limit,100
poisson,cancel,400
poisson,add_limit,300
poisson,modify,0
poisson,cancel,400
poisson,post,300
poisson,post,200
poisson,modify,100
poisson,post,200
poisson,cancel,100
poisson,add_limit,400
poisson,add_limit,700
poisson,add_limit,100
poisson,add_limit,400
poisson,post,200
poisson,post,100
poisson,add_limit,600
poisson,post,300
poisson,add_limit,400
poisson,post,200
poisson,add_limit,700
poisson,add_limit,500
poisson,add_limit,300
poisson,post,200
poisson,post,200
poisson,post,300
poisson,add_limit,800
poisson,post,300
poisson,post,300
poisson,post,200
poisson,post,200
poisson,post,200
poisson,post,300
poisson,add_market,900
poisson,add_limit,100
poisson,add_market,200
poisson,add_limit,400
poisson,post,200
poisson,add_limit,600
poisson,post,400
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,700
poisson,post,300
poisson,add_limit,600
poisson,add_limit,400
poisson,modify,100
poisson,add_limit,400
poisson,post,200
poisson,add_limit,600
poisson,add_limit,200
poisson,add_limit,400
poisson,add_limit,100
poisson,post,200
poisson,post,100
poisson,cancel,400
poisson,post,300
poisson,cancel,300
poisson,post,400
poisson,add_limit,100
poisson,post,200
poisson,post,200
poisson,add_limit,100
poisson,add_limit,100
poisson,post,300
poisson,add_limit,700
poisson,post,200
poisson,post,300
poisson,add_market,100
poisson,add_limit,100
poisson,cancel,100
poisson,post,200
poisson,post,400
poisson,add_limit,100
poisson,modify,100
poisson,add_limit,600
poisson,post,300
poisson,post,1700
poisson,add_limit,700
poisson,post,200
poisson,add_limit,700
poisson,add_limit,200
poisson,add_limit,100
poisson,add_limit,100
poisson,post,200
poisson,post,200
poisson,post,300
poisson,add_limit,900
poisson,add_limit,1200
poisson,add_market,1400
poisson,add_market,500
poisson,add_limit,700
poisson,add_limit,400
poisson,post,200
poisson,post,300
poisson,add_limit,600
poisson,add_limit,100
poisson,add_limit,700
poisson,post,300
poisson,add_limit,200
poisson,post,200
poisson,add_limit,600
poisson,add_limit,200
poisson,add_limit,100
poisson,add_limit,500
poisson,post,200
poisson,add_market,200
poisson,add_limit,100
poisson,add_limit,1100
poisson,add_limit,800
poisson,post,700
poisson,post,300
poisson,cancel,100
poisson,add_limit,2100
poisson,add_limit,200
poisson,add_limit,100
poisson,add_market,1500
poisson,post,300
poisson,add_limit,600
poisson,add_limit,400
poisson,add_limit,400
poisson,add_market,400
poisson,post,200
poisson,post,300
poisson,add_limit,800
poisson,add_limit,500
poisson,add_market,100
poisson,add_limit,400
poisson,add_market,1600
poisson,add_limit,100
poisson,post,300
poisson,add_limit,400
poisson,add_limit,500
poisson,add_limit,400
poisson,add_limit,100
poisson,add_limit,100
poisson,post,200
poisson,add_limit,500
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,500
poisson,add_limit,600
poisson,add_limit,400
poisson,add_market,900
poisson,add_limit,100
poisson,add_limit,400
poisson,post,300
poisson,post,200
poisson,add_limit,1000
poisson,add_market,800
poisson,cancel,100
poisson,add_limit,600
poisson,add_limit,700
poisson,add_limit,100
poisson,post,300
poisson,post,400
poisson,post,200
poisson,add_market,200
poisson,add_limit,600
poisson,add_market,100
poisson,add_limit,500
poisson,cancel,400
poisson,post,500
poisson,add_limit,500
poisson,post,300
poisson,add_limit,200
poisson,add_limit,100
poisson,add_limit,1100
poisson,post,400
poisson,add_limit,400
poisson,add_limit,200
poisson,add_limit,300
poisson,post,200
poisson,add_limit,200
poisson,add_limit,500
poisson,add_limit,700
poisson,add_limit,500
poisson,add_limit,500
poisson,post,500
poisson,post,200
poisson,add_limit,100
poisson,post,200
poisson,cancel,300
poisson,add_limit,900
poisson,post,300
poisson,add_limit,500
poisson,post,200
poisson,add_limit,500
poisson,add_limit,500
poisson,add_market,200
poisson,add_limit,300
poisson,modify,100
poisson,cancel,100
poisson,add_limit,200
poisson,add_limit,300
poisson,post,200
poisson,add_limit,500
poisson,add_limit,600
poisson,add_market,100
poisson,add_market,1000
poisson,modify,200
poisson,modify,100
poisson,add_market,100
poisson,modify,100
poisson,post,300
poisson,post,300
poisson,post,200
poisson,post,300
poisson,add_limit,800
poisson,add_limit,300
poisson,add_limit,200
poisson,add_limit,400
poisson,post,200
poisson,cancel,0
poisson,modify,100
poisson,cancel,100
poisson,post,200
poisson,add_limit,100
poisson,add_limit,800
poisson,post,200
poisson,post,200
poisson,add_limit,500
poisson,modify,0
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,500
poisson,cancel,300
poisson,add_limit,600
poisson,post,200
poisson,add_limit,500
poisson,add_limit,1000
poisson,add_market,500
poisson,post,200
poisson,add_limit,200
poisson,post,200
poisson,add_limit,100
poisson,post,300
poisson,add_limit,100
poisson,add_limit,300
poisson,post,100
poisson,add_limit,100
poisson,post,300
poisson,add_limit,500
poisson,add_limit,300
poisson,post,200
poisson,add_limit,300
poisson,modify,100
poisson,post,400
poisson,add_limit,500
poisson,cancel,100
poisson,add_limit,700
poisson,add_limit,400
poisson,post,200
poisson,add_limit,700
poisson,add_limit,100
poisson,post,200
poisson,add_limit,500
poisson,add_limit,500
poisson,add_limit,700
poisson,post,300
poisson,add_limit,500
poisson,add_limit,100
poisson,modify,100
poisson,add_limit,600
poisson,add_limit,600
poisson,modify,100
poisson,add_market,400
poisson,post,300
poisson,add_market,300
poisson,add_limit,600
poisson,add_limit,100
poisson,add_market,900
poisson,post,300
poisson,add_market,100
poisson,add_limit,100
poisson,add_limit,400
poisson,add_market,1000
poisson,add_limit,400
poisson,post,200
poisson,add_limit,400
poisson,add_limit,500
poisson,add_limit,700
poisson,cancel,100
poisson,modify,100
poisson,add_limit,400
poisson,post,200
poisson,add_limit,700
poisson,add_market,400
poisson,add_limit,1600
poisson,add_market,400
poisson,add_limit,600
poisson,add_limit,600
poisson,cancel,0
poisson,add_market,700
poisson,add_limit,200
poisson,add_market,800
poisson,add_market,300
poisson,add_limit,300
poisson,post,100
poisson,add_market,700
poisson,add_limit,900
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,300
poisson,post,800
poisson,add_limit,100
poisson,post,300
poisson,add_limit,800
poisson,post,200
poisson,post,500
poisson,post,300
poisson,post,200
poisson,cancel,0
poisson,add_market,1100
poisson,post,200
poisson,post,200
poisson,post,200
poisson,add_limit,800
poisson,post,200
poisson,post,300
poisson,cancel,100
poisson,add_limit,1100
poisson,add_limit,500
poisson,add_limit,200
poisson,add_market,600
poisson,add_limit,400
poisson,cancel,100
poisson,post,200
poisson,post,200
poisson,modify,100
poisson,add_limit,100
poisson,add_limit,100
poisson,post,200
poisson,add_limit,400
poisson,add_limit,800
poisson,add_limit,100
poisson,post,200
poisson,add_market,500
poisson,add_limit,500
poisson,add_limit,500
poisson,add_limit,900
poisson,cancel,100
poisson,add_limit,200
poisson,add_market,400
poisson,modify,0
poisson,add_limit,600
poisson,post,300
poisson,post,300
poisson,post,200
poisson,cancel,300
poisson,add_limit,600
poisson,post,300
poisson,modify,100
poisson,post,300
poisson,add_limit,800
poisson,add_limit,500
poisson,post,300
poisson,add_limit,100
poisson,post,300
poisson,add_market,500
poisson,add_limit,300
poisson,post,300
poisson,add_limit,600
poisson,add_limit,600
poisson,cancel,200
poisson,post,300
poisson,add_limit,100
poisson,add_limit,100
poisson,add_market,400
poisson,add_market,200
poisson,post,400
poisson,add_limit,100
poisson,post,200
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,600
poisson,add_limit,600
poisson,post,200
poisson,add_limit,100
poisson,add_limit,600
poisson,add_limit,100
poisson,cancel,0
poisson,post,200
poisson,post,200
poisson,post,400
poisson,add_limit,100
poisson,add_limit,600
poisson,add_limit,700
poisson,add_limit,600
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,100
poisson,post,200
poisson,add_market,100
poisson,post,200
poisson,add_market,100
poisson,add_limit,100
poisson,cancel,400
poisson,add_limit,500
poisson,add_market,200
poisson,post,200
poisson,post,200
poisson,post,200
poisson,add_limit,300
poisson,post,300
poisson,post,200
poisson,add_limit,600
poisson,add_limit,500
poisson,add_limit,400
poisson,post,200
poisson,add_limit,300
poisson,post,300
poisson,post,400
poisson,add_market,100
poisson,add_limit,600
poisson,post,200
poisson,post,300
poisson,add_market,1000
poisson,add_limit,600
poisson,cancel,300
poisson,add_limit,700
poisson,add_limit,500
poisson,add_limit,500
poisson,post,400
poisson,add_limit,400
poisson,modify,200
poisson,add_limit,500
poisson,post,200
poisson,add_limit,500
poisson,add_limit,400
poisson,post,200
poisson,post,200
poisson,modify,100
poisson,post,400
poisson,add_limit,100
poisson,add_limit,600
poisson,post,200
poisson,post,200
poisson,add_limit,100
poisson,post,200
poisson,add_limit,700
poisson,post,400
poisson,add_market,100
poisson,add_limit,600
poisson,add_limit,500
poisson,add_limit,500
poisson,add_limit,300
poisson,cancel,300
poisson,add_limit,100
poisson,post,200
poisson,add_limit,100
poisson,add_market,600
poisson,post,200
poisson,add_limit,100
poisson,cancel,300
poisson,add_limit,800
poisson,add_limit,700
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,300
poisson,add_limit,300
poisson,post,200
poisson,add_limit,100
poisson,add_market,100
poisson,add_limit,600
poisson,post,400
poisson,post,200
poisson,add_limit,300
poisson,add_limit,500
poisson,add_limit,100
poisson,add_limit,600
poisson,modify,200
poisson,add_market,500
poisson,add_limit,500
poisson,post,300
poisson,add_limit,300
poisson,add_limit,500
poisson,add_market,800
poisson,post,200
poisson,post,200
poisson,add_limit,700
poisson,add_limit,300
poisson,cancel,100
poisson,add_market,900
poisson,post,200
poisson,post,300
poisson,add_limit,500
poisson,post,200
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,400
poisson,post,300
poisson,add_limit,900
poisson,add_limit,600
poisson,post,200
poisson,add_limit,600
poisson,add_limit,300
poisson,add_limit,500
poisson,add_limit,100
poisson,post,200
poisson,post,300
poisson,post,300
poisson,post,300
poisson,add_limit,100
poisson,add_limit,100
poisson,post,300
poisson,add_limit,600
poisson,add_limit,100
poisson,add_limit,1200
poisson,add_limit,600
poisson,post,300
poisson,cancel,100
poisson,add_limit,600
poisson,add_limit,700
poisson,add_limit,500
poisson,post,300
poisson,add_limit,500
poisson,cancel,300
poisson,add_limit,100
poisson,post,200
poisson,add_limit,800
poisson,post,200
poisson,post,400
poisson,cancel,100
poisson,post,400
poisson,add_limit,600
poisson,post,200
poisson,add_limit,700
poisson,post,300
poisson,add_limit,600
poisson,add_limit,500
poisson,add_limit,500
poisson,add_market,400
poisson,add_market,500
poisson,post,300
poisson,add_limit,400
poisson,add_limit,600
poisson,add_limit,100
poisson,add_limit,100
poisson,add_market,2200
poisson,post,300
poisson,modify,100
poisson,cancel,200
poisson,add_limit,900
poisson,post,300
poisson,post,400
poisson,add_limit,600
poisson,post,200
poisson,post,200
poisson,add_limit,300
poisson,post,200
poisson,add_limit,200
poisson,add_market,500
poisson,add_limit,100
poisson,add_market,300
poisson,add_limit,400
poisson,add_limit,500
poisson,modify,100
poisson,post,200
poisson,modify,100
poisson,add_limit,100
poisson,post,200
poisson,post,200
poisson,cancel,300
poisson,add_limit,600
poisson,add_limit,100
poisson,cancel,100
poisson,post,300
poisson,add_limit,100
poisson,post,300
poisson,post,400
poisson,add_limit,100
poisson,add_limit,400
poisson,post,200
poisson,add_limit,600
poisson,post,200
poisson,post,600
poisson,add_market,600
poisson,modify,100
poisson,post,300
poisson,add_limit,400
poisson,add_limit,600
poisson,post,200
poisson,post,400
poisson,add_limit,700
poisson,add_limit,600
poisson,post,200
poisson,modify,200
poisson,add_limit,500
poisson,add_market,200
poisson,add_limit,500
poisson,add_limit,300
poisson,post,300
poisson,add_limit,500
poisson,add_limit,700
poisson,modify,200
poisson,add_limit,100
poisson,add_limit,600
poisson,add_limit,100
poisson,post,200
poisson,post,400
poisson,add_limit,100
poisson,post,200
poisson,add_limit,700
poisson,add_limit,700
poisson,add_limit,700
poisson,post,300
poisson,add_limit,200
poisson,post,200
poisson,add_limit,600
poisson,add_market,1100
poisson,post,300
poisson,add_limit,700
poisson,post,300
poisson,add_limit,600
poisson,post,200
poisson,add_limit,100
poisson,post,300
poisson,cancel,100
poisson,add_limit,200
poisson,add_limit,300
poisson,add_limit,200
poisson,add_limit,500
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,1100
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,800
poisson,add_limit,600
poisson,modify,100
poisson,add_limit,600
poisson,add_limit,500
poisson,post,300
poisson,add_limit,400
poisson,add_market,1000
poisson,add_limit,300
poisson,post,300
poisson,add_limit,600
poisson,add_market,400
poisson,post,300
poisson,add_limit,200
poisson,add_market,900
poisson,post,300
poisson,post,200
poisson,add_limit,1000
poisson,add_limit,400
poisson,add_limit,800
poisson,add_limit,300
poisson,post,200
poisson,add_limit,800
poisson,add_market,1000
poisson,cancel,300
poisson,add_limit,600
poisson,cancel,0
poisson,add_limit,600
poisson,cancel,100
poisson,post,400
poisson,modify,100
poisson,add_limit,500
poisson,post,400
poisson,add_market,600
poisson,add_limit,500
poisson,post,300
poisson,add_limit,700
poisson,add_limit,600
poisson,add_limit,600
poisson,add_limit,400
poisson,add_market,100
poisson,cancel,100
poisson,post,200
poisson,add_limit,600
poisson,add_limit,500
poisson,add_market,500
poisson,modify,200
poisson,post,300
poisson,add_limit,100
poisson,add_limit,100
poisson,add_limit,500
poisson,cancel,100
poisson,post,300
poisson,add_limit,500
poisson,add_limit,100
poisson,add_market,900
poisson,add_limit,100
poisson,add_limit,500
poisson,add_limit,400
poisson,post,300
poisson,add_market,300
poisson,post,500
poisson,add_limit,300
poisson,add_limit,700
poisson,add_limit,200
poisson,cancel,300
poisson,add_limit,600
poisson,add_limit,600
poisson,add_limit,100
poisson,post,400
poisson,add_limit,100
poisson,post,300
poisson,post,500
poisson,post,200
poisson,post,300
poisson,add_market,500
poisson,add_limit,600
poisson,add_market,1000
